issue_type_code,issue_description,request_count,median_resolution_days,overdue_rate
GARCONDM,GARBAGE CONTAINER DAMAGED,14513,4.2,0.22882932543237097
COMCEILD,ILLEGAL DUMPING / LITTER,5993,4.88,0.4566994827298515
COMSWRCD,RECYCLING CART DAMAGED,5537,6.15,0.27632291854795016
GARBAGE1,GARBAGE - MISSED,4673,2.61,0.3588701048576931
COMIDPRT,BULKY TRASH SPECIAL PICKUP REQUEST TRACKER,4630,1.97,0.0814254859611231
COMRCYMS,RECYCLING MISSED,4566,3.91,0.20127025843188787
COMCECUI,CODE ENFORCEMENT CU INSPECTION REQUEST,4492,5.76,0.6429207479964381
COMFCUIN,FIRE CU INSPECTION REQUEST,4247,0.0,0.0009418412997409936
GARBCSM,GARBAGE CONTAINER STOLEN,3854,4.15,0.19590036325895174
ZONCALLB,ZONING CALL BACK REQUEST,3461,1.98,0.2802658191274198
COMSWCB,SOLID WASTE MISCELLANEOUS REQUESTS,3446,37.22,0.869413813116657
COMPWTT,TREE TRIM AND PRUNING,3333,16.064999999999998,0.16801680168016803
COMPWSF,STORM FLOOD/ DRAINAGE,2894,12.195,0.05044920525224603
COMPWPH,POTHOLE,2665,4.41,0.02776735459662289
COMDANPU,DEAD ANIMAL PICKUP,2533,0.35,0.03947887879984208
COMSHOPP,CITY SHOPPING CART REMOVAL,1886,0.7,0.0
COMSWRCS,RECYCLING CART STOLEN,1550,5.23,0.2470967741935484
COMTRSHM,BULKY TRASH - MISSED,1426,5.04,0.14446002805049088
COMCEOGL,OVERGROWN LOT,1337,4.87,0.5878833208676141
COMSWKDM,SIDEWALK DAMAGE,941,39.27,0.2624867162592986
POCHGRAZ,POULTRY (CHICKEN) OR GRAZING ANIMAL,778,2.65,0.493573264781491
COMSWSER,SOLID WASTE RESIDENTIAL NEW SERVICE / ACCOUNT UPDATE,767,13.6,0.5228161668839635
COMPWTH,TRASH HOLE,651,6.18,0.006144393241167435
COMTRACO,MIAMI TROLLEY - ON DEMAND TRANSPORTATION SERVICE COMPLAINT,615,39.825,0.0
NOISEVIO,NOISE VIOLATION,578,2.3099999999999996,0.4342560553633218
COMCEPKC,PARKING - COMMERCIAL VEHICLE ILLEGALLY IN RESIDENTIAL ZONE,492,2.68,0.4410569105691057
COMCEILC,ILLEGAL CONSTRUCTION,425,4.01,0.5364705882352941
COMCEABV,ABANDONED VEHICLE ON PRIVATE PROPERTY,373,2.75,0.5871313672922251
COMCENCU,NO BUSINESS TAX RECEIPT / CERTIFICATE OF USE,373,3.97,0.5227882037533512
COMCEILS,ILLEGAL STORAGE / JUNK IN YARD,371,3.96,0.5283018867924528
COMGRAFF,GRAFFITI,357,4.9,0.5994397759103641
TREEDOWN,TREE DOWN  BLOCKING STREET,349,0.19,0.034383954154727794
TREEBLOT,TREE BLOCKING TRAFFIC SIGNAL/LIGHT (STOP SIGN),315,2.96,0.05396825396825397
TRASH,GARBAGE/TRASH/RECYCLING OUT TO EARLY,288,0.0,0.0
COMINPRO,ILLEGAL CONSTRUCTION IN PROGRESS -BUILDING,276,0.98,0.0
TREDDON,TREE DOWN NOT BLOCKING THE STREET,276,0.785,0.06521739130434782
COMSGRAD,SWALE GRADING / DROP OFF REPAIR,271,24.72,0.15129151291512916
COMCEBLM,BUILDING MAINTENANCE INADEQUATE,262,5.205,0.6297709923664122
STRUMPRE,TREE STUMP REMOVAL/ GRINDING,223,14.1,0.1031390134529148
COMCEILU,ILLEGAL UNITS,221,3.95,0.5158371040723982
COMCEBRT,BOATS / RV'S / TRAILERS,205,3.705,0.4975609756097561
COMCEVUS,VACANT / UNSECURED STRUCTURE,200,4.15,0.645
MANHOLE,MANHOLE / UTILITY COVER,194,5.58,0.04639175257731959
COMBUUST,BUILDING DEMOLITIONS AND UNSAFE STRUCTURES,168,0.0,0.0
ROADDEB1,ROAD DEBRIS BLOCKING TRAFFIC RIGHT OF WAY,152,5.92,0.27631578947368424
CAVESINK,CAVE IN OR SINK HOLE,140,6.04,0.35714285714285715
TRLEAN,TREE LEANING,118,19.95,0.2288135593220339
COMOTHER,COM OTHER,95,0.105,0.0
MOWING,LANDSCAPING CITY RIGHT OF WAY / MOWING,88,0.9299999999999999,0.03409090909090909
COMCESGN,SIGNS WITHOUT PERMIT,76,3.775,0.5131578947368421
COMCECCV,CONTAINER VIOLATION - COMMERCIAL / MULTI-FAMILY,69,6.745,0.4492753623188406
COMCEIMR,ILLEGAL MECHANICAL REPAIRS,69,3.07,0.42028985507246375
COMTREEP,TREE PEST CONTROL,41,273.03,0.975609756097561
BEEWASP,BEE AND WASP CONTROL,41,13.985,0.34146341463414637
COMCETRE,TREE REMOVAL WITHOUT PERMIT,34,2.46,0.38235294117647056
COMSQUAT,SQUATTERS,33,0.03,0.0
COMCEPKU,PARKING - ON UNIMPROVED SURFACES,31,1.02,0.3548387096774194
COMCANAL,CANAL CLEANING,19,34.175,0.2631578947368421
COMSCROSS,STREET CROSSWALK,16,22.45,0.625
ROADDEBR,BARRICADE ON PUBLIC RIGHT OF WAY REMOVAL,14,1.29,0.6428571428571429
COMHOMCB,HOMELESS ASSISTANCE CALL BACK,10,0.39,0.0
COMTREEBR,TREE BRACING REMOVAL / REPAIR,9,4.2,0.5555555555555556
TREEFELL,TREE FELL ON HOUSE,7,0.14,0.42857142857142855
COMSWIH,ILLEGAL COMMERCIAL HAULER,5,,1.0
COMBIC,BUILDING INSPECTOR COMPLAINT,4,0.0,0.0
COMGRAMI,SOLID WASTE CITY GRAFFITI MITIGATION PILOT PROGRAM,1,0.0,0.0
COMTRETK,TREE PLANTING TRACKER,1,42.12,0.0
