created_year_month,request_count,closed_count,closure_rate
2022-09-01,1,1,1.0
2022-10-01,3768,3749,0.995
2022-11-01,3210,3200,0.9969
2022-12-01,3332,3326,0.9982
2023-01-01,3612,3602,0.9972
2023-02-01,3164,3160,0.9987
2023-03-01,4450,4445,0.9989
2023-04-01,3807,3798,0.9976
2023-05-01,4011,3994,0.9958
2023-06-01,4317,4306,0.9975
2023-07-01,3980,3973,0.9982
2023-08-01,4617,4595,0.9952
2023-09-01,3818,3808,0.9974
2023-10-01,3815,3804,0.9971
2023-11-01,3542,3530,0.9966
2023-12-01,3348,3328,0.994
2024-01-01,4106,4079,0.9934
2024-02-01,4386,4364,0.995
2024-03-01,4205,4181,0.9943
2024-04-01,4190,4084,0.9747
2024-05-01,4312,3587,0.8319
2024-06-01,4065,3293,0.8101
2024-07-01,4722,3685,0.7804
2024-08-01,1300,794,0.6108
